time,seconds_elapsed,z,y,x
1741033391193194800,186.02819482421876,-5.991398811340332,-2.9291110038757324,-1.3156160116195679
1741033391203296300,186.03829614257813,-5.606900215148926,-2.1536026000976562,-1.0556800365447998
1741033391213397200,186.04839721679687,-5.258036136627197,-1.4151039123535156,-0.525033712387085
1741033391223499000,186.0584990234375,-4.782145977020264,-0.39914417266845703,0.21596330404281616
1741033391233600300,186.06860034179687,-4.192812442779541,0.7800893783569336,0.9397777318954468
1741033391243701800,186.07870166015624,-3.227977752685547,2.1193618774414062,1.5778464078903198
1741033391253802800,186.088802734375,-2.3230509757995605,3.565951347351074,2.248166561126709
1741033391263904300,186.098904296875,-1.5888159275054932,4.679156303405762,2.682945728302002
1741033391274006000,186.1090061035156,-0.6549572348594666,5.0257768630981445,2.635775566101074
1741033391284107000,186.11910693359374,0.19374942779541016,4.760395050048828,1.9704575538635254
1741033391294208500,186.12920849609375,0.38669008016586304,4.343727111816406,1.0541472434997559
1741033391304310300,186.13931030273437,0.04936099052429199,4.030516624450684,0.0859413743019104
1741033391314602200,186.14960229492186,-0.40372782945632935,4.1925811767578125,-0.9026622772216797
1741033391324905700,186.15990576171876,-0.6726480722427368,4.726266860961914,-2.0979340076446533
1741033391335179500,186.1701794433594,-1.2792510986328125,5.0895490646362305,-3.0384998321533203
1741033391345309400,186.18030932617188,-1.1594650745391846,5.506104469299316,-4.234464645385742
1741033391355410400,186.19041040039062,2.040900707244873,5.976421356201172,-5.6286420822143555
1741033391365512200,186.20051220703124,5.2406744956970215,6.695569038391113,-6.706734657287598
1741033391375613400,186.2106135253906,4.473100662231445,6.677874565124512,-6.424416542053223
1741033391385714700,186.22071459960938,4.3017354011535645,4.819775581359863,-4.553753852844238
1741033391395816000,186.23081591796876,3.8963327407836914,1.8865394592285156,-2.841306447982788
1741033391405917400,186.24091748046874,4.521227836608887,-0.7105083465576172,-2.392559051513672
1741033391416019200,186.2510192871094,4.027557849884033,-2.1761722564697266,-2.4549829959869385
1741033391426120700,186.26112060546876,2.211627960205078,-2.4038968086242676,-2.4783787727355957
1741033391436377000,186.27137719726562,0.7657222747802734,-1.376479148864746,-2.165919065475464
1741033391446680600,186.2816806640625,-0.34446361660957336,0.6216917037963867,-1.9039026498794556
1741033391456983300,186.2919833984375,-2.1739449501037598,2.4060964584350586,-1.9871766567230225
1741033391467120000,186.3021201171875,-3.2328405380249023,3.673295021057129,-1.284952998161316
1741033391477220900,186.31222094726562,-1.6703325510025024,3.6615495681762695,-0.10066163539886475
1741033391487322600,186.32232250976563,0.8905813694000244,3.0125694274902344,1.3298008441925049
1741033391497423600,186.33242358398437,2.275967836380005,2.1330394744873047,2.4343385696411133
1741033391507525400,186.342525390625,3.5335326194763184,0.9744176864624023,2.659724235534668
1741033391517626600,186.3526267089844,3.973071575164795,-0.19603252410888672,1.9640326499938965
1741033391527727900,186.36272778320313,3.4186222553253174,-1.1665430068969727,1.045841932296753
1741033391537829000,186.3728291015625,2.698183536529541,-1.9176287651062012,0.3896030783653259
1741033391547930600,186.3829306640625,1.9281301498413086,-2.4939322471618652,-0.49364668130874634
1741033391558032100,186.3930322265625,0.8766535520553589,-2.821115493774414,-1.509258508682251
1741033391568133400,186.40313330078126,0.23124933242797852,-3.0612845420837402,-1.971773386001587
