max_x,min_x,range_x,mean_x,median_x,var_x,std_x,skew_x,rms_x,mad_x,max_y,min_y,range_y,mean_y,median_y,var_y,std_y,skew_y,rms_y,mad_y,max_z,min_z,range_z,mean_z,median_z,var_z,std_z,skew_z,rms_z,mad_z,label
5.2102304,-23.129482,28.339712,-8.59599,-7.946181,36.20329,6.0169168,-0.2833571057774328,10.492584,4.412247,2.5962012,-18.433567,21.029768,-3.912307,-2.9440627,20.262278,4.5013638,-1.194646326151422,5.963927,3.3652542,8.427265,-4.23182,12.659085,1.9544044,1.9834354,5.040344,2.2450712,0.18057946913876938,2.976582,1.6567911,1
5.2020273,-26.794521,31.996548,-8.7223215,-7.681636,41.558254,6.446569,-0.5941524822491456,10.8460655,4.9648995,2.6648934,-17.162336,19.82723,-4.977157,-3.8972583,22.827435,4.7778063,-0.7025971152476047,6.899242,3.7872095,9.776829,-4.9134126,14.690241,1.7144018,1.7223258,6.582164,2.5655727,0.08533259139631212,3.0856664,1.9427849,1
6.0121574,-27.711498,33.723656,-8.851007,-8.032858,50.920727,7.135876,-0.6478510541646046,11.369303,5.195743,3.083453,-17.134089,20.21754,-4.2447233,-3.4652863,15.426688,3.9276824,-1.058393483325383,5.78311,2.9512353,6.5856004,-7.186705,13.7723055,0.8834347,0.9634789,3.3814147,1.8388623,-0.6138296921877686,2.0400665,1.3249431,1
4.2439895,-26.872448,31.116438,-8.563894,-7.3657627,42.0654,6.4857845,-0.7366743225485949,10.742703,4.8774433,3.0438752,-19.15417,22.198044,-5.1126122,-3.7066221,24.7633,4.9762735,-0.8634824600279007,7.1345716,3.8686132,12.661495,-5.1556687,17.817163,1.3602784,1.2795467,7.0048475,2.6466672,1.145142991725931,2.9757695,1.800833,1
5.746041,-23.105667,28.851707,-8.279252,-7.664422,36.379124,6.031511,-0.30708572006340573,10.243298,4.470039,3.2221844,-17.465456,20.687641,-4.4030304,-3.25796,24.350714,4.934644,-0.9059599680035838,6.6134253,3.8472452,8.060004,-6.370812,14.430817,1.5868099,1.7048347,5.5025654,2.3457549,0.08874068117938494,2.8320541,1.7563913,1
5.472964,-25.121958,30.594921,-8.852015,-7.903265,36.817078,6.0677075,-0.48098344071606663,10.731973,4.5202518,2.9109366,-19.300669,22.211605,-4.564383,-3.6987784,17.85655,4.2257013,-0.8569036773372093,6.2201395,3.151965,7.8285704,-3.961108,11.789679,1.4535103,1.2904589,4.913835,2.2167172,0.4853246173835502,2.6507597,1.5615385,1
3.308076,-23.328209,26.636284,-8.796674,-8.033733,35.763527,5.9802613,-0.5601042650001689,10.636963,4.4373293,1.981235,-15.47208,17.453316,-3.4006367,-2.551272,10.902811,3.3019404,-1.2708553348070677,4.7399516,2.4158907,12.597115,-4.6835804,17.280695,2.485545,2.309083,6.1815343,2.4862692,0.9652864755722456,3.5156035,1.7450337,1
3.2381563,-26.74364,29.981796,-9.305403,-7.718497,50.055004,7.074956,-0.6027755171718475,11.689547,5.587368,5.0398397,-18.081005,23.120846,-3.3090098,-2.317099,18.618114,4.3148713,-0.9848342638544705,5.4376154,3.2876418,9.657661,-4.3784847,14.036146,1.534264,1.2312347,5.9684453,2.4430401,0.6708923406355655,2.884859,1.7619143,1
2.8692932,-23.457644,26.326937,-8.897825,-7.791268,40.135227,6.335237,-0.413221690262465,10.922752,5.0935035,2.1388872,-13.625011,15.763899,-3.65826,-2.8959002,12.749851,3.5706935,-0.6668421394591937,5.112017,2.839703,9.139155,-2.2561533,11.3953085,1.9693221,1.7855544,6.2541914,2.500838,0.829276257293783,3.1831462,1.8937013,1
-5.8933196,-12.9931755,7.099856,-8.983165,-8.995499,3.0240073,1.7389673,-0.22019430763545617,9.149933,1.4746264,0.76240957,-7.2025123,7.964922,-4.034082,-4.1906853,2.2917793,1.5138624,0.9609767641507831,4.3087816,1.1073241,3.2112722,-2.573164,5.784436,0.93936396,0.90424705,1.1806116,1.0865595,-0.23889318037391505,1.4363203,0.86052746,0
-5.5568495,-12.021051,6.464202,-8.8260145,-8.705297,2.5154114,1.5860049,-0.010919657359160347,8.967382,1.3080899,-2.7729537,-8.50666,5.7337065,-4.7903943,-4.5845313,1.1001965,1.0489025,-0.83416938231657,4.903884,0.84661764,3.4894686,-1.5201339,5.0096025,1.2473531,1.2000769,0.8244263,0.90797925,0.11441644658760403,1.5428272,0.6965621,0
-6.105743,-11.653626,5.5478835,-8.913445,-8.94096,1.895375,1.3767262,0.09719750330955249,9.019139,1.1471245,-2.8389065,-6.925873,4.0869665,-4.292827,-4.0619535,0.73871595,0.85948586,-0.8118661697853398,4.3780227,0.69660425,2.6177115,-0.4730014,3.090713,1.3302454,1.3794191,0.4015821,0.6337051,-0.3076289352514017,1.4734771,0.5046175,0
-6.497957,-12.626438,6.128481,-8.733482,-8.633118,1.7105945,1.307897,-0.47554745309166746,8.8308735,1.054011,-3.011198,-7.3159165,4.3047185,-4.6666365,-4.7009144,0.74109316,0.8608677,-0.3467094312619358,4.745375,0.69232917,3.7770805,-1.3895903,5.166671,1.531876,1.4941629,0.6658151,0.81597495,-0.0949626917471328,1.7356437,0.5966819,0
-4.406447,-11.737272,7.3308253,-8.286627,-8.066568,2.2193117,1.4897355,-0.1880536809720784,8.419472,1.2046987,-3.9944434,-7.616566,3.6221228,-5.5233984,-5.4445753,0.8301289,0.9111141,-0.43665522451959277,5.5980406,0.7409194,2.7295737,-0.6810088,3.4105825,1.3130889,1.3231735,0.6083996,0.77999973,-0.21208227851588826,1.5272859,0.6628805,0
-5.627622,-11.121094,5.4934716,-8.240095,-8.118885,1.6811104,1.2965764,-0.17615478522447314,8.341479,1.0294627,-3.8664298,-8.143531,4.277101,-5.5232387,-5.324869,1.0374339,1.018545,-0.718136510998757,5.6163692,0.84798646,2.7837312,-0.9840237,3.767755,1.0899967,1.1430006,0.53195846,0.7293548,-0.2473842628704491,1.3115073,0.57725024,0
-5.797893,-11.057401,5.2595077,-8.203161,-8.019445,1.2546742,1.1201224,-0.5737083202446454,8.279283,0.9149682,-3.3523836,-7.685423,4.3330393,-5.3211827,-5.273616,0.6070774,0.77915174,-0.2080411694197321,5.377924,0.6435006,4.3802214,-0.5109624,4.891184,1.6234823,1.4600638,0.93692935,0.9679511,0.7235480184842218,1.8901386,0.72973216,0
-6.1767254,-10.733235,4.55651,-8.335424,-8.310455,1.0931145,1.0455211,-0.19042753072442167,8.400739,0.8379265,-3.8126166,-7.574788,3.7621715,-5.148362,-5.035304,0.7353102,0.8575023,-0.4905022760927726,5.2192864,0.7112034,2.9799283,-0.5623356,3.542264,1.0659255,1.0936856,0.42818415,0.6543578,0.05530502347874428,1.2507523,0.5104712,0
-5.796142,-11.272279,5.4761367,-8.091002,-8.023487,1.4387861,1.1994941,-0.3279861641693546,8.179432,0.96078986,-3.9452708,-8.671497,4.726227,-5.630347,-5.3854113,1.0531619,1.0262368,-0.7245067677223297,5.723108,0.83338064,2.98388,-0.8111033,3.7949834,1.3009219,1.3618679,0.4651072,0.6819877,-0.15467828824404756,1.4688448,0.5440279,0
